cafe_title,cafe_content,cafe_replies,date
다낭 물갈이 현지약,물갈이 할까 너무 걱정되는데 효과좋은 현지약 있을까요? 약국가서 대충 증상 설명하면 알아서 주시나요? ㅠ,"['약도 약이지만 걱정이 된다면 한국에서 생수 위탁으로 넣어가세요 그리고 다낭 롯데마트에 삼다수도 팝니다', '다낭 롯대 마트에 에비앙 삼다수 있어요 그리고 한국 출발 하기전에 생수 구입하기전까지 두실물 몇개만 수화물에 넣어가시고 거기서 얼음은 드시지 마세요', '다낭약국 배달도 되니까 증상 바로 나타는거랑, 말씀하면 약 지어줍니다! 증상 설명하면 줄거에요', '한국어로 약 배달할수 있는 약국도 있어요~']",
현지구매 가능한 개미약 추천 부탁드립니다,개미가 살살 보여서 약을 써야할 것 같은데 현지에서 구매 가능한 효과 좋은 개미약 추천 부탁드립니다,"['현지 개미약 1링깃짜리 사시면 오래 쓸거에요. 저는 한국마트에서 구매했는데요 현지마트에도 파는곳 많을것같습니다', '감사합니다', '조호뉴비이 약 짝퉁도 유통되니, 사진처럼 포장이 깨끗한걸로 구매하세요...']",
나트랑 현지 약국 가래콧물약?,"현지약국 가래콧물약 좀 추천 부탁드려요ㅜ
가져온 콜대원 레드를 다먹어버려서
급하게 필요합니당~~~
증상 끈적한 가래 콧물 ㅜ 기침시 누런 가래올라와요
마사지 엎드려받으니 더 심하네요

+ 약 구매해서 저녁부터 복용중입니다.
댓글에 추천해주신 데콜겐 낮/밤용 과 프로스판 시럽
데콜겐 4정씩포장된거 2개씩 총4팩구매+프로스판시럽 = 총 10만동
7시쯤 저녁용 데콜겐먹고 시간차두고 8시에 프로스판시럽 복용 한숨자고나면 좀나을지 기대해봅니다.
잠이 쏟아지네요 😌😪 약기운탓인가?

베트남와서 약사먹기는 첨인데 한국분들 약 엄청많이 사가시더라구요~:) 나만 몰랐네ㅎㅎ
프로스판시럽은 상비약으로 좀더 사갈까봐요^^

","['베트남은 약사가 증상에 맞게 약을 주시던데요..우리나라에서는 진료봐야 받을수있는 항생제도 주시고...약국 가셔서 약사에게 증상 말씀하셔요. 아님 리조트에서 묵으시는 경우에는 아프다고 로비에 말하면 상주하는 간호사를 불러주더라고요. 증상듣고 약 주십니다.', '일단 코감기에 잘 듣는 약은 데콜겐이요.\n제가 쓴 후기 한번 보세요~^^', '감사합니당^^']",
생리통 현지약,신혼여행으로 오늘 딱 덴파사르 공항 도착하자마자 ㅜㅜ생리 시작해서 약빨 잘듣는 발리 현지약 추천해주실수 있나요 ㅜㅜ 2즈전에 생리했어서 비상상비약으로 생리통약만 딱 제외하고 다 챙겨왔다가 봉변이에요 ㅜㅜ 호텔측에서 파머씨 드랍해줘서 약 받아왔는데 효과가 1도 없어요 ㅜㅜ (기타스 플러스?).. ㅠ평소에 이지엔 이브 먹는데 효과 괜찮은 약있을까요…,['두통.치통.생리통.열.관절통'],
물갈이.. 현지 약 효과,"저번 베트남 방문 때 물갈이를 해서

한국에서 약이란 약을 다 챙겨갔는데

다 듣질 않더라구요...

그러다가 현지 약국에서 스멕타랑 진경제 사먹었더니

바로 효과가 납니다...

진작 현지 약 사먹을걸 그랬어요 ㅜㅜ

해외가면 한국 약보다 현지 약이 더 잘 듣는것 같아요

전 음식 말고 진짜 인증된 생수만 먹고 바로 배 아픈 경우라서 100% 물갈이였습니다...

진경제는 노-스*, 스파사* 등 종류가 다양하니 약사에게 문의해보세요

베트남 여행의 절반의 재미는 음식인데 배아프면 입맛이 나질 않네요ㅠ

","['아아 ㅠ 고생하셨겠어요. 저도 잘 기억해뒀다 혹시 모를 상황에 대처해야겠네요^^', '참고하세용 ㅎ', '참고하겟습니다. 저도 물갈이가 젤걱정이예요..애들보다 제가 더 걱정... ㅠㅠ 한국에서도 여름만 되면 스멕타 달고 사는데 무섭네요', '아이약은 엄청 챙겨가서 하나도 안 먹이고 저만...ㅜㅜ', '정보 감사합니다ㅠ 수고하셨네용..', 'ㅜㅜ 참고하세요!', '정보 감사합니다. 애들이 물갈이 하지 말아야될텐데 걱정이네요', '애들은 아프면 안되죠..ㅜㅜ 차라리 내가 아프고말지', '저도 물갈이 걱정중인데..... 큰일 없어서 다행이네요...!!', '건강히 여행하세요 ㅎ', '좋은 정보 감사합니다', '정보감사합니다 저도 또 사갈까했는데 가서 약국에서 사야겠어요 소화제랑 다른건 챙겨가구요', '그럼 현지 약국가서 바로 사야겠어요\n아이가 항상 물갈이 하더라구요']",
베드버그약 현지에서 구입하려구요,"▶
카페에서 베드버그 관련글을 읽었더니
현지 구입할수있는 약을 알게됐어요

저는 한국에서 준비하지않고 현지에서 구입할까하는데...
스페인에서 쉽게 구할수 있을까요?
혹시 마트나 약국에서 이 약 보신분 계실까요??
(마트나 약국에서 팔겠죠??)

짐줄이기 연구를 하는중이라 가능하다면 현지에서 다 조달하려는 계획으로 여쭤봅니다~



[네이버 대표 유럽여행카페, 체크인유럽이 드리는 유럽여행 총정리]
🛒유럽여행 준비물 공구 & 혜택 리스트
https://cafe.naver.com/momsolleh/472739
🗺️여행지별 구글맵 여행코스
https://cafe.naver.com/momsolleh/475245
🏡위치&가성비좋은 유럽도시별 숙소 추천
https://cafe.naver.com/momsolleh/473837
🪪패스/액티비티/투어/입장권 예약 총정리
https://cafe.naver.com/momsolleh/358997","['현지에서 찾아다니시려면 시간이 많이 뺏겨요ㅜㅜ\n저는 물린 다음에 찾아다니느라 하루 종일 걸어다니느라.....맘편히 가져가시는 걸 추천합니다....', '약국을 찾는게 쉽지않은걸까요?\n약을 찾는게 쉽지않은걸까요?', '라찌약이요,,,,', '미리 사야겠네요', '저도 미리 사가야겠어요 김장봉투에 약에 비오킬에 아고야']",
현지에서 갑자기 배가 아프고 부글부글 할때 약 추천,"세부에서 물갈이를 하는지 배가 아프기시작했습니다. 소화가 안되나?싶어서 한국에서 챙겨온 소화제를 먹어도 낫지를 않아서 아 현지약국가야겠다 생각들더군요ㅠㅠ

세부시티까진 너무멀고 공항근처에 있는 왓슨스퍼멀시로 가서 인포직원에게 증상을 얘기하니 카운터에잇는 벨을 눌러 사무실에 있는 직원이 응대를 다시해주셨어요


이거 받아서 먹고 자고일어나니까 확 괜찮아졌습니다 가끔은 현지약이 더 잘들때가 있는거같아요!",['오 완전 꿀팁'],
베드버그약 현지에서 구입해보신분 계실까요?,"베드버그때문에 말이 많아 약을 챙기긴 해야겠고
화물무게 때문에 망설여지는것도 사실이고 해서
현지에서 사볼까 합니다
왼쪽이 방충약이고 오른쪽이 물렸을때 바르는약이라는데
스페인에서 이 약들 보신분 계실까요?
일단 어디에 파는지도 몰라서 사고싶어도 살수가 없네요
약국? 마트?혹시 보신분 계실까요??","['오른쪽 연고는 벌레물린데 바르는 약인데, 스페인은 잘 모르겠지만 다른 나라의 경우 마트에서 여러번 봤어요. 스페인도 비슷힐지 않을까요?']",
한국인데 발리밸리 현지약 갖고 계신 분 잇으실까요?,"부산이시면 더 좋고 ㅠㅠ 한국돌아와서도 발리밸리 증상이 호전이 안돼서
한국약, 수액 전부 다 안듣네요 ㅠ 현지약 노릿이 이제 몇알 안남아서
혹시 발리밸리 현지약이나 설사약, 복통약 현지약 가지고 계신 분 잇으신지 문의드려요! ㅠㅠ",[],
베드버그약 현지구입 조언부탁드려요~,"9월6일부터 프랑스길 잘 걷고있습니다.
천천히 걸어서 이틀후에야 레온에 들어가네요~^^
예전보다 베드버그 걱정은 덜 하고 다니기는 하는데
한국에서 사온 베드버그약을 다써서 현지 구입하려합니다.
약국에서 아무리 설명을 해도 뿌리는 스프레이약이 없다고 하는데 어떤걸 구입해야하는지 조언 부탁드립니다~","['디펜스 벅스 더블( 꼭 더블로 )\n\n\n\n이 사진도 한번 보세요.', '디펜스벅스 더블은 한국에서 사갔던거네요~^^\n이걸 다써서 현지에서 새로 구입하려구요.', '자 카 란 다ZUM은 약국에서 파나요?\n감사합니다, 찾아볼께요!', '요즘침대커버/베개커버로 100% 다주어서....불필요해요', '레온까지도 침대커버 안주는곳이 세군데정도 있었어요.\n이틀전 엘부르고 무니시팔은 흙벽인데다가 천장도 나무석까래와 흙벽이 그대로 드러나있어서 너무 무서웠어요~ㅜㅜ', '순례 중에는 슬리핑백을 사용해서 베드버그 안물렸는데요,\n마드리드 꽤 괜찮은 호텔에선 슬리핑백 사용안한 인생동지님께서 물리는 바람에 서울에 와서도 고생 했습니다.', '글쓴 분 덕분에 베드버그약 이미지 저장해갑니다 ㅜㅜ']",
멀미약 현지구매,"현지에서 멀미약 구입하신분계신가요?
어제 약국갔더니 요즘 멀미약재료가 안들어와 구하기 어렵다고 그러는데..... 공항가며 다른약국도 들러볼예정이지만 혹시나하여 미리 문의드려요ㅠ","['저는 샀는데 저희동네 막 쌓여 있던데요 다른데 함가보셔요', '약국몇군데 전화해보고 샀어요 ^^ 요즘 품절인데가 많다고 하긴하더라고요', '공항에선 비싸니 가시기 전에 꼭 사세요~', '넵 샀습니다 ^^', '아일랜드투어는 멀미약 없어도 될듯합니다. 10분에서 15분이면 도착해요', '낚시투어때매샀어요. 두찌가 비행기에서도 멀미를 했네요;;', '저 배멀미 진짜 장난아니게 하는데 울렁거림틈없이 도착했어요.', '둘째아이가 비행기에서도 멀미하는 심각한멀미쟁이라ㅠ', '어디가실때 멀미약이 필요하실까요?\n그냥 섬가는거면 멀미 안하고요\n혹시 바다낚시처럼 배위에 있거나\n키나발루산처럼 먼곳 안좋은 길 가시는거면 필요한데 한국에서 사가시는게 좋을듯요\n한국사람은 한국약이 더 잘 듣는다고 그런말도 들었어요^^;;', '다행히 사서 왔습니다. 어제 낚시투어때먹고 패러세일링할때도 먹을까싶어영']",
각화형 무좀약 &외이도염약 현지서 구할수 있을까요..?,"

입성 준비중이라 매번 질문만 남겨서 죄송한 마음입니다ㅜㅠ 저도 나중엔 꼭 도윰되는 답변 많이 달겠습니다ㅠㅠ

1. 각화형 무좀약 바르고 있는데 효과가 좋긴한데 안쓰다보면 금방 다시 각질이 올라오더라구요. 이거 쓰고있는데 비슷한거 안팔면 많이 사가려구요!



2. 외이도염으로 고생중이고, 귀마개를 아무리 열심히 써도 물만 들어갔다 나오몀 어김없이 재발이에요ㅠㅠ
귀에 점이액만 넣어주면 금방 낫는데. 한국에선 처방전 있어야만 살수 있거든요.
혹시 인도네시아도 병원 가야한다면 한국에서 몇개 준비해 가려구요!! 약국에서 파는지 아시는분...?

______________________________________
의약품은 인도네시아 약국에서 쉽게 구할구 있는것 같더라구요! 오히려 한국에서는 처방전 있어야만 구할수 있는것도 인도네시아는 미국처럼 약국에서 구할수 있는게 많은것 같아서 약은 따로 안챙기려구요.

메디폼, 바르는메디폼, 방수밴드, 여드름패치, 탐폰 마니마니 - 이정도 대량 구매 예정인데
혹, 한국에서 이것만큼은 꼭 챙겨와라 하는 의약품 있으몀 추천 마구마구 받습니다!
","['둘 다 사오세요. 제품이름말고 약성분이름을 알아야 사기싶고 여기도 이제 처방전 요구합니다.', '아핫 네 감사합니다^^ !!!', '둘다사오시는걸추천드려요', '넵 잔뜩 준비해가겠슴미다 답변 감사합니다^^ !']",
"필터, 개미약 현지 구입","입말이 얼마 안남아서 짐을 챙기고 있어요~
숙소에 필터가 설치 되어 있다고 해요.
혹시 몰라 샤워기 필터만 조금 챙겨갈려고 하고 상황봐서
현지에서 주방필터랑 개미&바퀴 약을 살까 하는데 쉽게 구할수 있나요~?
조금이라도 짐을 덜고 아이가 좋아하는 것들 가지고 가고 싶어서요~~^^","['주방필터는맞는거 찾는게쉽지않구요 개미약은 동네마트에있어요', '헉....짐무게 생각하지 말고 준비 철저히 해가야 겠네요~ 답변 감사합니다^^', '레오04주방필터 한국서 저도 사온게있었는데 잘 안맞더라구요 수전마다 살짝씩 사이즈가달라서 그런거같아요. 라자다에서파는것중 수전에 끼우는 입구가 고무로되어있는 그런건 맞을듯해요 저는 샤오미꺼 쓰고있는데 그럭저럭 괜찮아요', 'Vanilla2793샤오미도 있나여? ㅋㅋ검색들어갑니다~ 감사합니다 ㅎㅎ', 'ㅋㅋ 필요하다는건 준비해서 가야겠네요😂 쿠팡 주문 들어 갑니다~! 답변 감사용~~', '개미약 어떤거 구매하셨을까용\n생각못했는데 급 구매해가야겠네요', '조이봉봉저 다른거 주문했다 환불하고 재구매했네요 ㅎㅎ', '조이봉봉오~ 감사합니다~']",
위경련 현지 약 어떤게 있을까요ㅠㅠ,"현재 발리 생활 2달 째입니다..! 처음으로 복통과 설사를 겪고 있는 중입니다ㅠㅠ
초반에 몸살이 있다가 약을 미리 먹었더니 다행히 몸살기운은 따로 없고 복통과 설사 증상만 나타나고 있습니다🥲
일상생활 중 오는 복통이 꽤 스트레스네요,,
가져온 한국 약을 다 먹어버려서 현지 약을 구매해서 먹을까 합니다..!
혹시 복통에 좋은 현지약 추천 부탁드릴 수 있을까요?
","['병원가셔요...ㅠ', '이게 약국에 있을지 모르겠네요.. 장내 설사+복통 유발 물질을 흡착해서 내보내 줍니다.. 주의점은 다른 약의 약효를 낮출수 있어 2시간 간격 두고 공복에 드셔야해여', '더불어 부스코판 드시면 복통을 가라앉혀 줍니다. 그냥 부스코판이면 타이레놀 같이 드시고, 부스코판 플러스면 타이레놀은 안드셔도 됩니당', '구매해서 먹어봐야겠어요 정말 감사합니다☺️🫧']",
