,매장명,주소,지역,간식빵,기타,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
0,뚜레쥬르 서충주파라뷰,충청북도 충주시,충북,3161.5,4208.9,6230.0,8600.0,5620.0,4600.0,3587.5,3000.0,3100.0
1,뚜레쥬르 제천하소로,충청북도 제천시,충북,3033.3,4275.0,6438.9,10200.0,5294.1,4600.0,3500.0,3066.7,3220.0
2,뚜레쥬르 증평하나로마트,충청북도 증평군,충북,3100.0,4726.7,6700.0,,4983.3,4600.0,3500.0,2933.3,2750.0
3,뚜레쥬르 진천성모병원,충청북도 진천군,충북,3075.0,4340.5,7150.0,3000.0,5010.0,4600.0,3433.3,3200.0,3025.0
4,뚜레쥬르 청원내수,충청북도 청원군,충북,2925.0,4327.5,6733.3,3000.0,5023.1,4600.0,3300.0,3066.7,3100.0
5,뚜레쥬르 청주가경,충청북도 청주시,충북,2920.0,3854.8,7085.7,,4714.3,4300.0,3066.7,2400.0,3180.0
6,뚜레쥬르 청주모충,충청북도 청주시,충북,2975.0,4176.5,7050.0,,5077.8,4600.0,3250.0,2933.3,3025.0
7,뚜레쥬르 청주용암부영,충청북도 청주시,충북,3112.5,4320.0,6542.9,4700.0,5041.7,4600.0,3240.0,3200.0,3025.0
8,뚜레쥬르 청주용암현대,충청북도 청주시,충북,3236.4,4460.9,7220.0,9066.7,5176.9,4600.0,3357.1,2800.0,3040.0
9,뚜레쥬르 청주율량,충청북도 청주시,충북,3020.0,4044.2,7100.0,,5086.7,4600.0,3266.7,2933.3,3040.0
10,뚜레쥬르 청주테크노폴리스,충청북도 청주시,충북,2775.0,3734.3,7550.0,,5340.0,4900.0,3675.0,2800.0,3120.0
11,뚜레쥬르 충북금왕중앙,충청북도 음성군,충북,3125.0,4107.1,7038.5,,5500.0,4600.0,2400.0,2400.0,2850.0
12,뚜레쥬르 충북옥천,충청북도 옥천군,충북,3142.9,4633.3,7220.0,,4975.0,4600.0,3800.0,2400.0,3250.0
13,뚜레쥬르 충북음성,충청북도 음성군,충북,2970.0,4346.3,6085.7,,4961.5,5066.7,3483.3,2800.0,3025.0
14,뚜레쥬르 충주용산호암,충청북도 충주시,충북,3155.6,4228.9,7050.0,,5283.3,4600.0,3525.0,2933.3,3333.3
