주소,간식빵,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
대전광역시 서구,3127.77,7204.63,8300.0,4963.33,4722.23,3527.77,3116.65,3188.9
대전광역시 유성구,2920.0,7100.0,,4630.0,4600.0,3280.0,3000.0,3260.0
대전광역시 중구,3005.13,7494.67,9350.0,5064.63,4511.1,3400.93,2994.43,3230.97
충청남도 공주시,3721.65,4945.0,5000.0,4420.85,4900.0,3850.0,3716.65,3004.15
충청남도 논산시,3892.35,6740.0,5300.0,5170.85,5075.0,3564.3,3737.5,3133.3
충청남도 당진시,3215.4,7160.0,8400.0,5030.8,5033.3,3571.4,2900.0,3183.3
충청남도 부여군,3027.3,7100.0,,4912.5,4933.3,3660.0,2966.7,3183.3
충청남도 서산시,3266.7,7166.7,,4725.0,4933.3,3775.0,3000.0,3240.0
충청남도 아산시,3194.73,7308.33,8400.0,5195.23,4600.0,3703.97,3216.67,3330.0
충청남도 천안시,3483.35,7751.0,9416.67,5091.25,4912.5,3844.82,3225.0,3391.25
충청남도 홍성군,2820.15,7243.35,,4966.15,4600.0,3547.15,3016.65,3212.5
