,매장명,주소,지역,간식빵,기타,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
0,뚜레쥬르 강릉교동,강원특별자치도 강릉시,강원도,3340.0,4346.9,7216.7,8300.0,5080.0,4600.0,4125.0,2900.0,3100.0
1,뚜레쥬르 강릉입암,강원특별자치도 강릉시,강원도,2866.7,4455.2,7100.0,,5344.4,4600.0,3220.0,2400.0,3025.0
2,뚜레쥬르 동해,강원특별자치도 동해시,강원도,2657.1,4231.6,,,5344.4,,3220.0,2933.3,3025.0
3,뚜레쥬르 원주단구,강원특별자치도 원주시,강원도,3000.0,4250.0,7120.0,10500.0,5150.0,4600.0,3250.0,3100.0,3116.7
4,뚜레쥬르 원주봉산,강원특별자치도 원주시,강원도,3183.3,4213.8,7177.8,,5171.4,4600.0,2466.7,2933.3,2866.7
5,뚜레쥬르 원주봉화산,강원특별자치도 원주시,강원도,3000.0,4277.8,7128.6,,5141.7,4600.0,3683.3,2400.0,3120.0
6,뚜레쥬르 원주중앙,강원특별자치도 원주시,강원도,2980.0,4597.4,7185.7,,5250.0,4600.0,3220.0,2933.3,3200.0
7,뚜레쥬르 춘천퇴계중앙,강원특별자치도 춘천시,강원도,2800.0,4128.1,6000.0,,5120.0,4600.0,3650.0,3300.0,3233.3
8,뚜레쥬르 춘천후평,강원특별자치도 춘천시,강원도,3040.0,4180.5,7250.0,8300.0,4838.5,4600.0,3100.0,2800.0,3083.3
9,뚜레쥬르 홍천연봉,강원특별자치도 홍천군,강원도,3214.3,4170.6,6950.0,,4955.6,4600.0,2983.3,3100.0,3200.0
