,매장명,주소,지역,간식빵,기타,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
0,뚜레쥬르 경북울진,경상북도 울진군,경북,2642.9,4125.0,7100.0,,5190.9,4600.0,3357.1,2933.3,3100.0
1,뚜레쥬르 경북청도,경상북도 청도군,경북,2987.5,4076.7,7187.5,9400.0,5055.6,4600.0,3814.3,3066.7,3025.0
2,뚜레쥬르 경산옥곡,경상북도 경산시,경북,2480.0,3921.6,7300.0,,4942.9,4600.0,3675.0,3200.0,3025.0
3,뚜레쥬르 경산정평,경상북도 경산시,경북,3100.0,3862.8,7160.0,8333.3,5185.7,4600.0,3514.3,2933.3,3116.7
4,뚜레쥬르 경주중앙,경상북도 경주시,경북,2887.5,3963.6,8500.0,8500.0,5150.0,4600.0,3833.3,2966.7,3120.0
5,뚜레쥬르 경주충효서라벌중앙,경상북도 경주시,경북,2825.0,4314.6,7311.1,,5162.5,4600.0,3500.0,2933.3,3650.0
6,뚜레쥬르 구미형곡중앙,경상북도 구미시,경북,2940.0,4329.4,7177.8,,4976.9,4600.0,3580.0,2800.0,3300.0
7,뚜레쥬르 김천부곡센트럴,경상북도 김천시,경북,3100.0,4029.3,7128.6,,4788.9,4600.0,3800.0,2933.3,3025.0
8,뚜레쥬르 대구달성공원역,대구광역시 중구,경북,2616.7,3950.0,7283.3,8500.0,4930.0,4600.0,3250.0,2933.3,3283.3
9,뚜레쥬르 대구대봉,대구광역시 남구,경북,3177.8,4261.9,7044.4,9966.7,5215.4,4600.0,3600.0,3233.3,3316.7
10,뚜레쥬르 대구본리,대구광역시 달서구,경북,2888.9,3858.8,7000.0,,5075.0,4600.0,3700.0,3133.3,3420.0
11,뚜레쥬르 대구신평리,대구광역시 서구,경북,2680.0,4156.2,7133.3,8300.0,4714.3,4600.0,3360.0,2933.3,3080.0
12,뚜레쥬르 대구용산,대구광역시 달서구,경북,3100.0,4191.8,7100.0,8350.0,5109.1,4600.0,3233.3,2933.3,3040.0
13,뚜레쥬르 도청신도시,경상북도 예천군,경북,2620.0,4237.2,7066.7,,4983.3,4600.0,3680.0,2800.0,3333.3
14,뚜레쥬르 동대구더샵디어엘로,대구광역시 동구,경북,2916.7,4252.8,7042.9,8300.0,4800.0,4600.0,4200.0,2933.3,3133.3
15,뚜레쥬르 동대구해모로,대구광역시 동구,경북,2944.4,4097.0,,,5050.0,4600.0,3514.3,3100.0,3200.0
16,뚜레쥬르 문경중앙,경상북도 문경시,경북,2872.7,4057.4,7320.0,8925.0,4860.0,4933.3,3825.0,3066.7,3180.0
17,뚜레쥬르 복현GS,대구광역시 북구,경북,3125.0,3975.0,7242.9,9100.0,5090.0,4600.0,3400.0,3166.7,3300.0
18,뚜레쥬르 서대구센트럴자이,대구광역시 서구,경북,2925.0,4010.5,7260.0,10500.0,5037.5,4933.3,3525.0,2800.0,3025.0
19,뚜레쥬르 수성3가캐슬,대구광역시 수성구,경북,3000.0,4053.5,,,5000.0,,3637.5,3100.0,3116.7
20,뚜레쥬르 안동정하,경상북도 안동시,경북,3216.7,4170.8,6920.0,8025.0,5207.7,4933.3,3314.3,3100.0,3142.9
21,뚜레쥬르 영주가흥제일,경상북도 영주시,경북,3250.0,4128.6,7088.9,8500.0,4926.7,4933.3,3337.5,2933.3,3142.9
22,뚜레쥬르 영천망정,경상북도 영천시,경북,2657.1,4192.5,7320.0,8450.0,4908.3,4600.0,3857.1,3600.0,3040.0
23,뚜레쥬르 옥동호반,경상북도 안동시,경북,3090.9,4408.1,7225.0,8175.0,5122.2,4600.0,3557.1,3100.0,2950.0
24,뚜레쥬르 울산명촌,울산광역시 북구,경북,2920.0,4421.4,7066.7,,5514.3,4600.0,3366.7,3000.0,3800.0
25,뚜레쥬르 울산무거,울산광역시 남구,경북,3077.8,4568.8,7160.0,8066.7,5300.0,4600.0,3566.7,2800.0,3180.0
26,뚜레쥬르 울산반구강변,울산광역시 중구,경북,3100.0,4351.5,7160.0,8300.0,5277.8,4600.0,3483.3,2933.3,3100.0
27,뚜레쥬르 울산방어,울산광역시 동구,경북,2414.3,4055.6,7150.0,8300.0,5181.8,4600.0,3233.3,2933.3,2980.0
28,뚜레쥬르 울산신정현대,울산광역시 남구,경북,2800.0,3902.5,7125.0,8350.0,4876.9,4600.0,3333.3,2933.3,3180.0
29,뚜레쥬르 울산야음롯데,울산광역시 남구,경북,2783.3,4200.0,7460.0,,5058.3,4600.0,3514.3,3066.7,3400.0
30,뚜레쥬르 울산유곡혁신,울산광역시 중구,경북,3125.0,4122.2,7120.0,8300.0,4975.0,4933.3,3357.1,2933.3,3025.0
31,뚜레쥬르 울산전하동,울산광역시 동구,경북,3000.0,4415.0,7183.3,8350.0,5100.0,4600.0,3525.0,2933.3,3025.0
32,뚜레쥬르 울산지웰자이,울산광역시 동구,경북,2671.4,4337.0,7133.3,8400.0,4340.0,4600.0,3314.3,2933.3,3083.3
33,뚜레쥬르 월배삼정,대구광역시 달서구,경북,3900.0,4716.9,6883.3,11000.0,5206.2,4800.0,4144.4,3100.0,3400.0
34,뚜레쥬르 침산명성푸르지오,대구광역시 북구,경북,3355.6,4324.0,7516.7,,5011.1,4600.0,3300.0,3200.0,3100.0
35,뚜레쥬르 포항유강,경상북도 포항시,경북,2700.0,4289.2,7150.0,,5090.9,4600.0,3350.0,3100.0,3200.0
36,뚜레쥬르 포항이동,경상북도 포항시,경북,2487.5,4194.6,7157.1,8350.0,5281.8,4933.3,3525.0,3066.7,3100.0
37,뚜레쥬르 포항자이,경상북도 포항시,경북,2987.5,4297.1,7066.7,8400.0,4620.0,4600.0,3233.3,2800.0,3333.3
38,뚜레쥬르 포항중앙,경상북도 포항시,경북,3142.9,4328.6,7080.0,7300.0,4955.6,4600.0,3900.0,2800.0,3200.0
39,뚜레쥬르 현풍테크노,대구광역시 달성군,경북,2885.7,3916.7,7111.1,,5010.0,4600.0,3460.0,3100.0,3350.0
