구분,매매,전세
,3.3㎡,3.3㎡
경상북도 경산시,678,492
경상북도 경주시,639,484
경상북도 고령군,439,297
경상북도 구미시,592,465
경상북도 김천시,546,439
경상북도 문경시,608,420
경상북도 봉화군,407,294
경상북도 상주시,451,286
경상북도 성주군,415,288
경상북도 안동시,506,368
경상북도 영주시,504,340
경상북도 영천시,372,273
경상북도 예천군,874,644
경상북도 울진군,444,308
경상북도 청도군,717,515
경상북도 칠곡군,414,319
경상북도 포항시,639,540
울산광역시 남구,"1,150",789
울산광역시 동구,650,490
울산광역시 북구,800,585
울산광역시 울주군,775,594
울산광역시 중구,"1,078",768
대구광역시 남구,"1,039",678
대구광역시 달서구,958,640
대구광역시 달성군,789,544
대구광역시 동구,957,633
대구광역시 북구,850,624
대구광역시 서구,"1,098",609
대구광역시 수성구,"1,534",852
대구광역시 중구,"1,447",847
