주소,평균가격
대구광역시 남구,5019.2875
대구광역시 달서구,4974.658333333333
경상북도 청도군,4892.075
대구광역시 북구,4888.0
경상북도 경주시,4877.4625
경상북도 문경시,4872.8375
경상북도 영천시,4804.0625
대구광역시 서구,4800.41875
경상북도 영주시,4764.075
울산광역시 중구,4732.69375
경상북도 안동시,4730.00625
대구광역시 동구,4729.8625
경상북도 경산시,4718.71875
울산광역시 남구,4710.027083333333
대구광역시 중구,4674.575
경상북도 포항시,4660.258333333333
울산광역시 동구,4624.370833333333
울산광역시 북구,4323.957142857143
대구광역시 달성군,4216.685714285714
경상북도 김천시,4196.542857142857
경상북도 구미시,4196.385714285714
경상북도 예천군,4154.757142857143
경상북도 울진군,4132.028571428572
대구광역시 수성구,3570.84
