주소,간식빵,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
경상북도 경산시,2790.0,7230.0,8333.3,5064.3,4600.0,3594.65,3066.65,3070.85
경상북도 경주시,2856.25,7905.55,8500.0,5156.25,4600.0,3666.65,2950.0,3385.0
경상북도 구미시,2940.0,7177.8,,4976.9,4600.0,3580.0,2800.0,3300.0
경상북도 김천시,3100.0,7128.6,,4788.9,4600.0,3800.0,2933.3,3025.0
경상북도 문경시,2872.7,7320.0,8925.0,4860.0,4933.3,3825.0,3066.7,3180.0
경상북도 안동시,3153.8,7072.5,8100.0,5164.95,4766.65,3435.7,3100.0,3046.45
경상북도 영주시,3250.0,7088.9,8500.0,4926.7,4933.3,3337.5,2933.3,3142.9
경상북도 영천시,2657.1,7320.0,8450.0,4908.3,4600.0,3857.1,3600.0,3040.0
경상북도 예천군,2620.0,7066.7,,4983.3,4600.0,3680.0,2800.0,3333.3
경상북도 울진군,2642.9,7100.0,,5190.9,4600.0,3357.1,2933.3,3100.0
경상북도 청도군,2987.5,7187.5,9400.0,5055.6,4600.0,3814.3,3066.7,3025.0
경상북도 포항시,2829.48,7113.45,8016.67,4987.08,4683.32,3502.08,2941.68,3208.32
대구광역시 남구,3177.8,7044.4,9966.7,5215.4,4600.0,3600.0,3233.3,3316.7
대구광역시 달서구,3296.3,6994.43,9675.0,5130.1,4666.67,3692.57,3055.53,3286.67
대구광역시 달성군,2885.7,7111.1,,5010.0,4600.0,3460.0,3100.0,3350.0
대구광역시 동구,2930.55,7042.9,8300.0,4925.0,4600.0,3857.15,3016.65,3166.65
대구광역시 북구,3240.3,7379.8,9100.0,5050.55,4600.0,3350.0,3183.35,3200.0
대구광역시 서구,2802.5,7196.65,9400.0,4875.9,4766.65,3442.5,2866.65,3052.5
대구광역시 수성구,3000.0,,,5000.0,,3637.5,3100.0,3116.7
대구광역시 중구,2616.7,7283.3,8500.0,4930.0,4600.0,3250.0,2933.3,3283.3
울산광역시 남구,2887.03,7248.33,8208.35,5078.4,4600.0,3471.43,2933.33,3253.33
울산광역시 동구,2695.23,7155.53,8350.0,4873.93,4600.0,3357.53,2933.3,3029.43
울산광역시 북구,2920.0,7066.7,,5514.3,4600.0,3366.7,3000.0,3800.0
울산광역시 중구,3112.5,7140.0,8300.0,5126.4,4766.65,3420.2,2933.3,3062.5
