구분,매매,전세
,3.3㎡,3.3㎡
경기도 가평군,684,504
경기도 고양시,"1,527","1,041"
경기도 과천시,"5,910","2,374"
경기도 광명시,"2,517","1,464"
경기도 광주시,"1,210",835
경기도 구리시,"2,230","1,235"
경기도 군포시,"1,664","1,067"
경기도 김포시,"1,314",886
경기도 남양주시,"1,371",940
경기도 동두천시,586,458
경기도 부천시,"1,732","1,140"
경기도 성남시,"3,568","1,826"
경기도 수원시,"1,747","1,092"
경기도 시흥시,"1,308",874
경기도 안산시,"1,500",909
경기도 안성시,684,517
경기도 안양시,"2,292","1,349"
경기도 양주시,931,585
경기도 양평군,879,647
경기도 여주시,596,486
경기도 연천군,553,358
경기도 오산시,"1,109",764
경기도 용인시,"1,777","1,151"
경기도 의왕시,"1,974","1,208"
경기도 의정부시,"1,173",798
경기도 이천시,828,653
경기도 파주시,"1,010",715
경기도 평택시,"1,007",670
경기도 포천시,550,400
경기도 하남시,"2,767","1,643"
경기도 화성시,"1,620","1,000"
