,매장명,주소,지역,간식빵,기타,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
0,뚜레쥬르 곤지암,경기도 광주시,경기도,3258.8,4293.8,6570.6,9085.7,5072.2,4933.3,3120.0,3100.0,3142.9
1,뚜레쥬르 광명하안,경기도 광명시,경기도,3146.2,4496.2,7150.0,8300.0,5221.4,4600.0,3400.0,2933.3,3133.3
2,뚜레쥬르 광명휴먼시아,경기도 광명시,경기도,2925.0,3916.7,7033.3,,4960.0,4600.0,2866.7,3100.0,3040.0
3,뚜레쥬르 광주탄벌,경기도 광주시,경기도,2770.0,4602.6,7366.7,8500.0,5050.0,4600.0,3220.0,2933.3,3140.0
4,뚜레쥬르 구리인창삼보,경기도 구리시,경기도,3214.3,4271.9,7000.0,,5200.0,4600.0,3960.0,,3100.0
5,뚜레쥬르 김포마산,경기도 김포시,경기도,4100.0,4797.0,7171.4,,5011.1,4600.0,3775.0,3200.0,3366.7
6,뚜레쥬르 김포마송,경기도 김포시,경기도,3633.3,4750.0,8080.0,,6650.0,5250.0,4500.0,3766.7,4050.0
7,뚜레쥬르 동천동문,경기도 용인시,경기도,3012.5,4136.8,7150.0,,4650.0,4600.0,3375.0,2933.3,2950.0
8,뚜레쥬르 동탄메타폴리스,경기도 화성시,경기도,3033.3,4228.6,7116.7,8300.0,5166.7,4600.0,3675.0,2933.3,3116.7
9,뚜레쥬르 동탄역,경기도 화성시,경기도,3566.7,4591.4,8700.0,9800.0,4862.5,4600.0,4050.0,3400.0,3433.3
10,뚜레쥬르 동탄지스타,경기도 화성시,경기도,3190.9,3975.0,7155.6,8400.0,4810.0,4600.0,3400.0,2933.3,3200.0
11,뚜레쥬르 마두역,경기도 고양시,경기도,2657.1,4580.6,7175.0,,5400.0,4600.0,2900.0,2800.0,3320.0
12,뚜레쥬르 마석창현,경기도 남양주시,경기도,3171.4,4353.3,6435.7,8400.0,4928.6,4600.0,3283.3,2933.3,3180.0
13,뚜레쥬르 매교솔밭사거리,경기도 수원시,경기도,2857.1,4188.6,7066.7,8300.0,4750.0,4600.0,3433.3,2933.3,3200.0
14,뚜레쥬르 매교힐스테이트,경기도 수원시,경기도,3071.4,4197.1,7033.3,10000.0,4923.1,4600.0,3350.0,2900.0,3360.0
15,뚜레쥬르 미사강변,경기도 하남시,경기도,3016.7,4403.0,7300.0,8300.0,4945.5,4600.0,3625.0,2950.0,3550.0
16,뚜레쥬르 반정아이파크캐슬,경기도 화성시,경기도,3125.0,4257.1,7271.4,9600.0,4650.0,4600.0,3600.0,3066.7,3366.7
17,뚜레쥬르 배곧한라비발디,경기도 시흥시,경기도,3244.4,4535.0,7528.6,,5812.5,4600.0,4266.7,3833.3,5225.0
18,뚜레쥬르 병점금강,경기도 화성시,경기도,3733.3,4452.2,7611.1,9433.3,5066.7,5500.0,2900.0,3200.0,3416.7
19,뚜레쥬르 병점중심상가,경기도 화성시,경기도,3283.3,4138.6,7371.4,8500.0,5081.2,4600.0,3587.5,2933.3,3000.0
20,뚜레쥬르 부천대성,경기도 부천시,경기도,2962.5,4134.3,7100.0,8400.0,4763.6,4600.0,2725.0,2933.3,2980.0
21,뚜레쥬르 성남하나로마트,경기도 성남시,경기도,3500.0,5569.5,7840.0,,5688.2,4950.0,4316.7,3300.0,3900.0
22,뚜레쥬르 수원고색,경기도 수원시,경기도,3287.5,4497.1,7500.0,8500.0,5171.4,4300.0,3400.0,2850.0,3375.0
23,뚜레쥬르 수원동보신명,경기도 수원시,경기도,2725.0,4204.8,7150.0,,4945.5,4600.0,3200.0,2933.3,3116.7
24,뚜레쥬르 수원역로데오,경기도 수원시,경기도,3545.5,4396.5,7188.9,,5110.0,4300.0,3925.0,3200.0,3466.7
25,뚜레쥬르 수원정자,경기도 수원시,경기도,2663.6,4100.0,7175.0,9900.0,4988.9,5400.0,3550.0,2933.3,3050.0
26,뚜레쥬르 수원천천푸르지오,경기도 수원시,경기도,3410.0,3745.0,7350.0,,5063.6,4600.0,2860.0,2933.3,2800.0
27,뚜레쥬르 수원판타지움,경기도 수원시,경기도,2825.0,4463.6,7360.0,8300.0,5233.3,4600.0,3250.0,2866.7,3300.0
28,뚜레쥬르 수지구청역,경기도 용인시,경기도,3062.5,4792.3,8233.3,10000.0,5610.0,5500.0,3716.7,4175.0,3760.0
29,뚜레쥬르 시화세종,경기도 시흥시,경기도,2680.0,3885.7,6616.7,,4927.3,4600.0,3833.3,2800.0,3120.0
30,뚜레쥬르 신곡초교,경기도 의정부시,경기도,3525.0,4280.5,7450.0,8500.0,5200.0,4600.0,3233.3,2400.0,3116.7
31,뚜레쥬르 안산다농,경기도 안산시,경기도,3133.3,4178.0,7280.0,,4860.0,4600.0,3257.1,2933.3,3025.0
32,뚜레쥬르 안산센트럴포레,경기도 안산시,경기도,3142.9,4296.7,6960.0,8675.0,5110.0,4600.0,3314.3,3066.7,3100.0
33,뚜레쥬르 안양금정역,경기도 군포시,경기도,3625.0,4394.7,7114.3,8350.0,5262.5,4600.0,2866.7,2800.0,3180.0
34,뚜레쥬르 안양수촌마을,경기도 안양시,경기도,2700.0,4316.0,,,4660.0,4300.0,2650.0,2800.0,2950.0
35,뚜레쥬르 안양호계현대,경기도 안양시,경기도,3212.5,4396.3,7216.7,,5140.0,4600.0,4175.0,3050.0,3250.0
36,뚜레쥬르 양주옥정고,경기도 양주시,경기도,3333.3,4397.4,6900.0,,4980.0,4600.0,2600.0,2933.3,3650.0
37,뚜레쥬르 양주옥정역,경기도 양주시,경기도,3307.7,4336.8,7536.4,11000.0,4955.6,4933.3,3428.6,2900.0,3320.0
38,뚜레쥬르 양평서종,경기도 양평군,경기도,3345.5,4404.2,6480.0,8500.0,5038.9,4933.3,3860.0,2933.3,3150.0
39,뚜레쥬르 여주역푸르지오,경기도 여주시,경기도,3033.3,4456.8,7536.4,8500.0,5228.6,4600.0,3750.0,3100.0,3375.0
40,뚜레쥬르 여주오학,경기도 여주시,경기도,3216.7,4773.7,7666.7,8500.0,5350.0,,3975.0,3200.0,3450.0
41,뚜레쥬르 오산누읍,경기도 오산시,경기도,3300.0,4759.1,7060.0,,4760.0,4600.0,3625.0,2933.3,3233.3
42,뚜레쥬르 오산법원,경기도 오산시,경기도,2830.0,3673.5,,,4657.1,4600.0,3900.0,2800.0,3233.3
43,뚜레쥬르 오산역,경기도 오산시,경기도,2260.0,3545.5,7225.0,8500.0,4560.0,,3900.0,3200.0,3133.3
44,뚜레쥬르 오전중앙,경기도 의왕시,경기도,2916.7,4382.5,7100.0,8300.0,5522.2,4600.0,3480.0,2933.3,3116.7
