주소,평균가격
"경기도 용인시 수지구 수지로 296번 길 39, 1층 일부(풍덕천동)",5507.1875
"경기도 용인시 수지구 성복2로 51 (성복동,데이파크) 데이파크B동 103,104호",5370.2125
"경기도 화성시 동탄역로 150 (오산동) B112, 113호",5301.5625
"경기도 성남시 분당구 황새울로 332 (서현동,분당문화센터) 1층",5254.716666666666
경기도 성남시 분당구 운중로 249 (판교동),5245.400000000001
"경기도 용인시 처인구 금령로55번길 3 (김량장동,농협파머스) 용인농협 파머스마켓1층",5215.975
"경기도 양주시 옥정로 226 (옥정동) 제일타워 106, 107",5172.7
경기도 김포시 김포대로 2231 104호 105호,5132.857142857143
"경기도 화성시 병점2로 6 102동 103호 (병점동, 금강타운)",5107.637500000001
경기도 여주시 현암3길 1 (현암동) 1층 뚜레쥬르 여주오학점,5051.2
경기도 이천시 부발읍 경충대로 2096-4,5000.0
경기도 수원시 장안구 대평로 80 (정자동) 정연메이져빌딩1층 뚜레쥬르,4957.6
"경기도 시흥시 배곧1로 27-16 (정왕동,한라비발디캠퍼스2차) 101,102호",4930.071428571428
경기도 고양시 덕양구 화중로104번 24 (송화빌딩) 1층 108호,4919.275
"경기도 동탄지성로469번길 60 5단지 상가1동107호,108호,109호",4909.975
경기도 수원시 팔달구 효원로93번길 33 (매교동) 힐스테이트푸르지오수원 상가,4904.725
"경기도 고양시 덕양구 화중로 32-31 (화정동,효원빌딩) 1층",4900.55
경기도 여주시 세종로 222-4,4890.4125
"경기도 파주시 새꽃로 203 (금촌동,백운빌딩) 1층 뚜레쥬르",4877.525
"경기도 고양시 일산동구 동국로 27 (식사동,동국대학교일산병원(일산한방병원)) 1층",4857.4625
경기도 평택시 영신1길 57 1층 102호 뚜레쥬르 평택지제영신점,4833.1875
경기도 수원시 권선구 매송고색로 695 (고색동),4797.9875
경기도 구리시 산마루로 24 신성타워 104호,4795.8875
"경기도 화성시 효행로 1068 (병점동,리더스프라자) 104~106호",4794.5875
경기도 의정부시 동일로472번길 7 (신곡동) 1층 뚜레쥬르,4791.025
"경기도 하남시 미사강변대로 70 (풍산동,해오름프라자) 104,105,106호",4785.9
경기도 광주시 곤지암읍 곤지암로 47,4785.4375
"경기도 성남시 분당구 성남대로43번길 11 (구미동,농수산물종합유통센터) 1층 뚜레쥬르",4784.9857142857145
경기도 양평군 서종면 무내미길 46 (문호리) 1층,4780.125
경기도 용인시 처인구 포곡읍 포곡로118번길 2 (둔전리) 1층 뚜레쥬르,4762.35
"경기도 화성시 남양읍 시청로 115 (남양리) 101,102호",4755.799999999999
경기도 의정부시 능곡로 26(신곡동),4753.125
경기도 안산시 화랑로102 101-102,4746.1125
"경기도 의왕시 오전로 216 1,2호",4746.1125
"경기도 안산시 단원구 고잔로 76 (고잔동,영풍빌딩) 영풍맘모스프라자 1층(123호,124호",4743.4
경기도 화성시 동탄중앙로 200 202호,4742.7125
경기도 광명시 하안로 294-7 (한진빌딩),4735.525
경기도 군포시 군포로 747-1 (산본동),4724.8125
경기도 수원시 영통구 덕영대로 1566 (영통동) 판타지움몰 1층,4716.875
경기도 화성시 동탄기흥로353번길 100 (오산동) 지스타프라자 107~108호(오산동),4711.225
경기도 하남시 더우개로 29 1층,4708.575000000001
경기도 광주시 포돌이로 4 (탄벌동) 1층 뚜레쥬르 광주탄벌,4697.5
"경기도 용인시 처인구 양지면 양지로 145 (양지리,밝은미소치과) 1층 뚜레쥬르",4683.925
경기도 오산시 역광장로 55,4682.614285714286
"경기도 의정부시 평화로 446(의정부동, 신영빌딩) 1층 101호 뚜레쥬르",4681.7
경기도 화성시 향남읍 상신하길로298번길 7-29 (하길리),4677.425
경기도 수원시 팔달구 세지로 150 (인계동) 1층,4642.55
경기도 성남시 수정구 금토로 80번길 56 1동 1층 106호A호(금토동),4641.2125
경기도 의왕시 부곡중앙로 6-4 6-4,4621.875
경기도 이천시 이섭대천로 1284,4618.5142857142855
경기도 남양주시 화도읍 창현리 555,4616.5375
"경기도 양주시 옥정서로1길 65 ,상가동 107,108호(옥정동, 양주옥정신도시한신더휴)",4612.075
경기도 안양시 동안구 평촌대로 113 (호계동) AC프라자 1층 101호,4605.1625
"경기도 부천시 원미구 부천로90번길 8 1층 (원미동, 아송빌딩)",4558.049999999999
"경기도 구리시 건원대로 56 단지상가동 117,118호 1층 뚜레쥬르",4512.383333333333
"경기도 김포시 김포한강8로 173-59 (마산동,E편한세상한강신도시2차) 113,114,1",4460.6
경기도 수원시 팔달구 향교로1번길 1 (매산로1가) 1층 뚜레쥬르,4390.871428571429
"경기도 안양시 동안구 경수대로 454 (호계동,유환프라자) 103호",4377.742857142857
경기도 김포시 양촌읍 양곡2로80번길 70 (양곡리) 1층,4344.442857142857
경기도 평택시 고덕면 고덕중앙로 290 (여염리) 에이스더 퍼스트 고덕 101~102호,4287.5
경기도 용인시 기흥구 흥덕중앙로 55 리써밋타워 114호,4232.142857142857
