주소,간식빵,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
경기도 고양시,3015.38,7200.4,10183.333333333334,4994.34,4600.0,2938.66,2879.9800000000005,3094.0
경기도 광명시,3035.6,7091.65,8300.0,5090.7,4600.0,3133.35,3016.65,3086.65
경기도 광주시,3014.4,6968.65,8792.85,5061.1,4766.65,3170.0,3016.65,3141.45
경기도 구리시,3000.0,7221.45,8500.0,5119.25,4600.0,3855.0,3000.0,3175.0
경기도 군포시,3625.0,7114.3,8350.0,5262.5,4600.0,2866.7,2800.0,3180.0
경기도 김포시,3577.7666666666664,7461.566666666667,,5579.633333333334,4716.666666666667,4558.333333333333,3122.2333333333336,3505.566666666667
경기도 남양주시,3110.7,6435.7,8400.0,4925.85,4600.0,3091.65,3066.65,3150.0
경기도 부천시,3092.35,7100.0,8400.0,4953.25,4600.0,2979.15,2866.65,3040.0
경기도 성남시,3195.625,7424.175,8383.333333333334,4777.05,4687.5,4372.233333333334,3116.65,3508.325
경기도 수원시,3048.1375,7227.9875,9000.0,5023.225,4625.0,3371.0375,2943.7375,3208.55
경기도 시흥시,3053.9666666666667,7086.533333333333,,5277.166666666667,4600.0,3772.2333333333336,3188.866666666667,3808.3333333333335
경기도 안산시,3106.866666666667,7285.566666666667,7887.5,5038.133333333333,4600.0,3390.4666666666667,3088.9,3233.3333333333335
경기도 안양시,2986.0,7128.35,8400.0,4843.599999999999,4600.0,3333.3333333333335,2750.0,3116.6666666666665
경기도 양주시,3227.0,7123.233333333334,9450.0,5020.2,4811.099999999999,2951.2000000000003,2922.2000000000003,3403.3333333333335
경기도 양평군,3345.5,6480.0,8500.0,5038.9,4933.3,3860.0,2933.3,3150.0
경기도 여주시,3125.0,7601.549999999999,8500.0,5289.3,4600.0,3862.5,3150.0,3412.5
경기도 오산시,2796.6666666666665,7142.5,8500.0,4659.033333333334,4600.0,3808.3333333333335,2977.7666666666664,3199.966666666667
경기도 용인시,3022.31,7525.83,6285.4125,4867.68,4733.33,3773.84,3164.15,3408.3300000000004
경기도 의왕시,3041.7,7110.0,8300.0,5251.1,4600.0,3177.5,2916.65,3075.0
경기도 의정부시,3092.0333333333333,7472.233333333334,8500.0,5119.400000000001,4711.099999999999,3405.2666666666664,2533.3333333333335,3102.2333333333336
경기도 이천시,3311.1,7466.7,,5862.5,4800.0,4014.3,3600.0,3475.0
경기도 파주시,3080.35,7100.0,9400.0,5058.55,4600.0,3750.0,2933.3,3110.0
경기도 평택시,3018.0,7319.45,8500.0,5040.900000000001,5066.666666666667,3629.7666666666664,3233.3333333333335,3373.3333333333335
경기도 하남시,3140.1499999999996,7200.0,8300.0,5018.6,4600.0,3479.15,2875.0,3365.0
경기도 화성시,3364.2875,7396.575,8966.6625,4896.4375,4712.5,3518.625,2958.325,3187.5125
