주소,평균가격
경기도 여주시,4942.60625
경기도 성남시,4933.111458333334
경기도 평택시,4897.681250000001
경기도 파주시,4879.025
경기도 화성시,4875.115625
경기도 양주시,4863.533333333333
경기도 고양시,4863.261666666666
경기도 구리시,4808.8375
경기도 수원시,4805.959375
경기도 양평군,4780.125
경기도 하남시,4747.2375
경기도 의정부시,4741.950000000001
경기도 광주시,4741.46875
경기도 군포시,4724.8125
경기도 오산시,4710.533333333333
경기도 안산시,4703.845833333333
경기도 의왕시,4683.993750000001
경기도 광명시,4669.325000000001
경기도 이천시,4647.085714285714
경기도 김포시,4645.966666666667
경기도 안양시,4644.74375
경기도 부천시,4628.924999999999
경기도 용인시,4597.6103125
경기도 남양주시,4597.56875
경기도 시흥시,4398.157142857143
