,매장명,주소,지역,간식빵,기타,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
0,뚜레쥬르 군산디오션,전라북도 군산시,전북,2970.0,4245.7,6950.0,8500.0,4772.7,4600.0,3566.7,2933.3,3200.0
1,뚜레쥬르 군산터미널,전라북도 군산시,전북,2790.0,4184.4,7314.3,,5137.5,4600.0,3375.0,2933.3,3300.0
2,뚜레쥬르 김제검산,전라북도 김제시,전북,2737.5,4275.0,7275.0,,5163.6,4600.0,3166.7,3333.3,3460.0
3,뚜레쥬르 삼례농협하나로마트,전라북도 완주군,전북,2962.5,4343.9,7060.0,8350.0,4916.7,4600.0,3480.0,3100.0,3100.0
4,뚜레쥬르 익산부송,전라북도 익산시,전북,2900.0,4248.9,7150.0,,5154.5,4600.0,3033.3,2800.0,3040.0
5,뚜레쥬르 익산제일,전라북도 익산시,전북,3083.3,4593.8,7066.7,,5150.0,,3100.0,3100.0,3133.3
6,뚜레쥬르 전주서신,전라북도 전주시,전북,3100.0,4042.9,7170.0,,4688.9,4600.0,3333.3,2800.0,3150.0
7,뚜레쥬르 전주신일강변,전라북도 전주시,전북,2983.3,4020.0,7150.0,,4983.3,4600.0,3233.3,3200.0,3166.7
8,뚜레쥬르 전주하가,전라북도 전주시,전북,3462.5,4036.7,7080.0,,4700.0,4600.0,3100.0,2933.3,3120.0
9,뚜레쥬르 전주효자1가,전라북도 전주시,전북,3054.5,4227.1,6533.3,,4908.3,5066.7,3622.2,2933.3,3100.0
10,뚜레쥬르 카페정읍수성,전라북도 정읍시,전북,2855.6,4441.9,6770.0,8800.0,5111.1,4600.0,3916.7,2966.7,3125.0
