,매장명,주소,지역,간식빵,기타,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
0,뚜레쥬르 광양중마사랑,전라남도 광양시,전남,2960.0,4238.9,7100.0,,5090.9,4600.0,3340.0,2600.0,3000.0
1,뚜레쥬르 광주금남로,광주광역시 동구,전남,2985.7,3944.0,,,4500.0,4600.0,2400.0,2933.3,2950.0
2,뚜레쥬르 광주동림,광주광역시 서구,전남,3284.6,4404.7,7137.5,8350.0,5100.0,4600.0,3516.7,2933.3,3220.0
3,뚜레쥬르 광주백운,광주광역시 남구,전남,3045.5,4147.1,7133.3,,4762.5,4600.0,3337.5,2933.3,3180.0
4,뚜레쥬르 광주백운DT,광주광역시 남구,전남,3045.5,4128.8,7133.3,,4762.5,4600.0,3337.5,2933.3,3200.0
5,뚜레쥬르 광주서방,광주광역시 북구,전남,2671.4,3777.1,7340.0,8500.0,4866.7,4600.0,3514.3,3100.0,3025.0
6,뚜레쥬르 광주수완대방,광주광역시 광산구,전남,2990.0,4439.5,7150.0,,5054.5,4600.0,3257.1,2400.0,3200.0
7,뚜레쥬르 광주월계,광주광역시 광산구,전남,3000.0,4295.6,7175.0,,5375.0,,3637.5,2933.3,3040.0
8,뚜레쥬르 광주진월,광주광역시 남구,전남,2790.0,4226.1,7111.1,8350.0,4933.3,4600.0,3333.3,2933.3,3025.0
9,뚜레쥬르 광주첨단대라수,광주광역시 광산구,전남,2600.0,4272.5,8500.0,8500.0,5254.5,4600.0,3460.0,2800.0,3116.7
10,뚜레쥬르 나주혁신중앙,전라남도 나주시,전남,2790.0,4166.0,7300.0,8500.0,5114.3,4300.0,3257.1,2933.3,3200.0
11,뚜레쥬르 남악오룡,전라남도 무안군,전남,2900.0,4478.6,7900.0,8500.0,4854.5,4600.0,2800.0,2900.0,3560.0
12,뚜레쥬르 목포남악부영,전라남도 무안군,전남,3125.0,3956.2,7220.0,9400.0,4660.0,4600.0,3400.0,3166.7,4100.0
13,뚜레쥬르 목포용해,전라남도 목포시,전남,2850.0,4091.2,7128.6,9400.0,5037.5,4900.0,3050.0,2933.3,3200.0
14,뚜레쥬르 목포하당중흥,전라남도 목포시,전남,2955.6,4197.9,7277.8,,4900.0,4600.0,3300.0,3033.3,3233.3
15,뚜레쥬르 상무,광주광역시 서구,전남,2140.0,4188.6,7260.0,8500.0,5100.0,4600.0,3766.7,2933.3,3025.0
16,뚜레쥬르 순천선평,전라남도 순천시,전남,2650.0,4551.7,6050.0,,4757.1,4600.0,4900.0,2933.3,3133.3
17,뚜레쥬르 순천왕지유심천,전라남도 순천시,전남,2744.4,4400.0,6200.0,11000.0,5180.0,5066.7,3525.0,2800.0,3100.0
18,뚜레쥬르 순천용당,전라남도 순천시,전남,2790.0,4444.1,7140.0,,5135.7,4600.0,3314.3,3100.0,3200.0
19,뚜레쥬르 순천조례명성,전라남도 순천시,전남,2428.6,4362.9,7100.0,,5000.0,4300.0,3562.5,2933.3,3025.0
20,뚜레쥬르 여수도원,전라남도 여수시,전남,3127.3,4382.9,7150.0,,4822.2,4933.3,3587.5,3100.0,3200.0
21,뚜레쥬르 여수쌍봉,전라남도 여수시,전남,3116.7,4220.5,6966.7,8350.0,4954.5,4600.0,3580.0,2933.3,3200.0
22,뚜레쥬르 여수엑스포타운,전라남도 여수시,전남,2970.0,4193.9,7400.0,8500.0,4840.0,4600.0,3300.0,2933.3,3120.0
23,뚜레쥬르 여수죽림,전라남도 여수시,전남,2616.7,4235.1,7400.0,,4925.0,4600.0,3660.0,3250.0,3266.7
24,뚜레쥬르 전남강진,전라남도 강진군,전남,3100.0,4297.4,7260.0,,5750.0,4600.0,2960.0,3133.3,3333.3
25,뚜레쥬르 전남고흥,전라남도 고흥군,전남,2550.0,4323.9,7155.6,,5191.7,4600.0,3160.0,2933.3,2950.0
26,뚜레쥬르 전남구례,전라남도 구례군,전남,2857.1,4097.4,7112.5,,4720.0,4933.3,3475.0,3000.0,3100.0
27,뚜레쥬르 전남완도,전라남도 완도군,전남,3475.0,4376.0,7120.0,8300.0,5242.9,4600.0,3433.3,2800.0,3280.0
28,뚜레쥬르 진도,전라남도 진도군,전남,2616.7,4022.5,7180.0,,4833.3,4600.0,3100.0,2933.3,2800.0
