주소,간식빵,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
광주광역시 광산구,2863.33,7608.33,8500.0,5228.0,4600.0,3451.53,2711.1,3118.9
광주광역시 남구,2960.33,7125.9,8350.0,4819.43,4600.0,3336.1,2933.3,3135.0
광주광역시 동구,2985.7,,,4500.0,4600.0,2400.0,2933.3,2950.0
광주광역시 북구,2671.4,7340.0,8500.0,4866.7,4600.0,3514.3,3100.0,3025.0
광주광역시 서구,2712.3,7198.75,8425.0,5100.0,4600.0,3641.7,2933.3,3122.5
전라남도 강진군,3100.0,7260.0,,5750.0,4600.0,2960.0,3133.3,3333.3
전라남도 고흥군,2550.0,7155.6,,5191.7,4600.0,3160.0,2933.3,2950.0
전라남도 광양시,2960.0,7100.0,,5090.9,4600.0,3340.0,2600.0,3000.0
전라남도 구례군,2857.1,7112.5,,4720.0,4933.3,3475.0,3000.0,3100.0
전라남도 나주시,2790.0,7300.0,8500.0,5114.3,4300.0,3257.1,2933.3,3200.0
전라남도 목포시,2902.8,7203.2,9400.0,4968.75,4750.0,3175.0,2983.3,3216.65
전라남도 무안군,3012.5,7560.0,8950.0,4757.25,4600.0,3100.0,3033.35,3830.0
전라남도 순천시,2653.25,6622.5,11000.0,5018.2,4641.68,3825.45,2941.65,3114.58
전라남도 여수시,2957.68,7229.18,8425.0,4885.42,4683.32,3531.88,3054.15,3196.68
전라남도 완도군,3475.0,7120.0,8300.0,5242.9,4600.0,3433.3,2800.0,3280.0
전라남도 진도군,2616.7,7180.0,,4833.3,4600.0,3100.0,2933.3,2800.0
