구분,매매,,전세,
,전주 3.3㎡당가,금주 3.3㎡당가,전주 3.3㎡당가,금주 3.3㎡당가
서울특별시 강남구,"7,748","7,712","3,127","3,094"
서울특별시 강동구,"3,767","3,773","1,848","1,852"
서울특별시 강북구,"2,196","2,196","1,346","1,345"
서울특별시 강서구,"2,930","2,929","1,625","1,625"
서울특별시 관악구,"2,582","2,586","1,534","1,527"
서울특별시 광진구,"4,131","4,129","2,127","2,137"
서울특별시 구로구,"2,410","2,412","1,380","1,383"
서울특별시 금천구,"2,202","2,202","1,298","1,298"
서울특별시 노원구,"2,423","2,423","1,272","1,271"
서울특별시 도봉구,"2,050","2,050","1,151","1,151"
서울특별시 동대문구,"2,823","2,825","1,652","1,655"
서울특별시 동작구,"3,649","3,637","1,977","1,973"
서울특별시 마포구,"4,049","4,050","2,138","2,141"
서울특별시 서대문구,"2,994","2,987","1,763","1,765"
서울특별시 서초구,"7,244","7,283","3,112","3,113"
서울특별시 성동구,"4,359","4,341","2,229","2,226"
서울특별시 성북구,"2,676","2,671","1,618","1,621"
서울특별시 송파구,"5,475","5,467","2,309","2,307"
서울특별시 양천구,"4,016","4,010","1,932","1,919"
서울특별시 영등포구,"3,858","3,874","1,893","1,895"
서울특별시 용산구,"5,678","5,717","2,353","2,358"
서울특별시 은평구,"2,656","2,658","1,574","1,577"
서울특별시 종로구,"3,409","3,393","1,995","1,984"
서울특별시 중구,"3,652","3,652","2,111","2,111"
서울특별시 중랑구,"2,223","2,229","1,351","1,355"
