주소,평균가격
서울특별시 송파구,5002.184375
서울특별시 용산구,4995.925
서울특별시 은평구,4945.1625
서울특별시 서초구,4931.5125
서울특별시 강북구,4892.675
서울특별시 서대문구,4879.220833333333
서울특별시 중구,4874.65625
서울특별시 광진구,4851.8625
서울특별시 종로구,4838.212500000001
서울특별시 강동구,4837.766666666666
서울특별시 강남구,4834.275
서울특별시 중랑구,4802.154166666667
서울특별시 성북구,4746.501875
서울특별시 성동구,4737.0
서울특별시 마포구,4730.316071428571
서울특별시 동대문구,4726.054166666667
서울특별시 노원구,4692.35625
서울특별시 관악구,4426.5
서울특별시 도봉구,4222.478571428571
서울특별시 강서구,4209.1375
서울특별시 양천구,4142.414285714285
서울특별시 영등포구,4105.907142857142
서울특별시 구로구,4041.7714285714287
