주소,간식빵,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
서울특별시 강남구,3185.6,7325.0,9066.65,4656.95,4600.0,3608.35,3033.3,3198.35
서울특별시 강동구,3207.7000000000003,7171.433333333333,8566.666666666666,5159.133333333333,4744.433333333333,3516.6666666666665,3100.0,3236.1
서울특별시 강북구,3108.35,7313.9,9450.0,4928.75,4600.0,3618.75,2933.3,3188.35
서울특별시 강서구,2981.45,3300.0,8500.0,4950.0,4600.0,3160.0,2966.65,3215.0
서울특별시 관악구,3291.7,7828.6,,4855.6,4600.0,3742.9,3166.7,3500.0
서울특별시 광진구,3523.1,6583.3,9380.0,5161.9,4933.3,3100.0,2933.3,3200.0
서울특별시 구로구,2861.1,7116.65,,4970.45,4600.0,2673.35,2950.0,3120.85
서울특별시 노원구,3125.0,7110.0,8350.0,4993.05,5150.0,2954.15,2933.3,2923.35
서울특별시 도봉구,3011.8999999999996,7116.65,,5030.0,4600.0,3669.65,3016.65,3112.5
서울특별시 동대문구,3161.133333333333,6850.0,8850.0,4753.333333333333,4600.0,3709.5333333333333,2788.866666666667,3095.566666666667
서울특별시 마포구,3144.0285714285715,7288.728571428571,8590.0,4640.442857142857,4600.0,3267.914285714286,3011.8857142857146,3299.5285714285715
서울특별시 서대문구,3162.866666666667,7182.866666666666,8994.433333333332,5087.5,4600.0,3566.6666666666665,3252.7666666666664,3186.6666666666665
서울특별시 서초구,2985.7,7774.3,9300.0,4852.799999999999,4650.0,3324.3,3108.35,3456.65
서울특별시 성동구,2859.7,7549.1,8800.0,4730.549999999999,4600.0,3333.35,2916.65,3106.65
서울특별시 성북구,3121.62,7174.175,8500.0,5147.26,4540.0,3338.3199999999997,3019.9800000000005,3130.66
서울특별시 송파구,3323.675,7412.5,9150.0,5032.675,4666.675,3682.775,3322.925,3426.25
서울특별시 양천구,2793.75,7066.65,,4988.2,4600.0,3650.0,2933.3,2965.0
서울특별시 영등포구,2603.55,7105.0,,4949.45,4600.0,2833.35,3266.65,3383.35
서울특별시 용산구,3515.7,6905.950000000001,9200.0,5185.75,4600.0,3560.0,3150.0,3850.0
서울특별시 은평구,3144.433333333333,7222.233333333334,10100.0,4989.633333333333,4455.566666666667,3761.6666666666665,2755.5333333333333,3132.2333333333336
서울특별시 종로구,3333.3,6492.3,9085.7,5204.5,4933.3,3640.0,2933.3,3083.3
서울특별시 중구,3225.3999999999996,7125.0,10225.0,4478.55,4600.0,3310.0,2866.65,3166.65
서울특별시 중랑구,3382.566666666667,6871.933333333333,8662.5,4997.2,4711.099999999999,3802.633333333333,2841.6666666666665,3147.633333333333
