뚜레쥬르 지점,뚜레쥬르 충북음성,뚜레쥬르 제천하소로,뚜레쥬르 증평하나로마트,뚜레쥬르 진천성모병원,뚜레쥬르 청원내수,뚜레쥬르 청주용암현대,뚜레쥬르 청주용암부영,뚜레쥬르 청주모충,뚜레쥬르 청주율량,뚜레쥬르 청주가경,뚜레쥬르 청주테크노폴리스,뚜레쥬르 서충주파라뷰,뚜레쥬르 충주용산호암,뚜레쥬르 충북옥천,뚜레쥬르 충북금왕중앙
마늘 단짝 고구마,4900,4900,4900,4900,4900,4900,4900,4900,4900,,4900,4900,4900,4900,4900
깊은 밤 뺑스위스,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,,4300,4300,4300,4300
BELT 샌드위치,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,,6900,6900,,6900
BLT콥 샐러드,,8500,,,8500,,,,,,8500,,,,8500
쉬림프 에그 샐러드,,,,,,10500,,,,,,10500,,,
에그튜나 샌드위치,,,,,,7200,,,7200,7200,7200,7200,,,7200
반숙란 샌드위치,,7300,,7300,,,,,,,,7300,,7300,7300
고소한 햄치즈 에그 샌드위치,,7300,,,7300,7300,7300,,7300,7300,,7300,7300,,7300
고소한 햄에그 샌드위치,7500,7500,7500,,,7500,,7500,,,7500,,,,7500
통밀크랜베리치킨샌드위치,7200,,,,,7200,,,,,,7200,,,
통밀후레쉬 샌드위치,,7000,7000,7000,7000,7000,7000,7000,7000,,7000,7000,7000,,7000
NEW 아삭 햄치즈 패스트리,,7000,7000,7000,7000,7000,7000,7000,7000,,7000,7000,,,
쉬림프 아삭 패스트리,,7500,,,,7500,7500,,,,,,,,
V.E.L.T 샌드위치,,7000,,,,,7000,7000,7000,,,7000,7000,,7000
고소한 곡물식빵,4900,,4900,4900,4900,4900,,,4900,4900,,4900,4900,4900,4900
데일리 우유식빵,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
2배 더 진해진 순진 우유식빵,5600,5600,,5600,5600,5600,,5600,5600,,,5600,5600,5600,5600
그대로 구워먹는 꿀 토스트 식빵,5500,5500,5500,5500,,5500,,,5500,,5500,,,,5500
착한 빵식 통밀빵,4900,4900,,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
고단백 현미식빵,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,,,,,
마구마구 밤식빵 (대),6900,6900,6900,6900,6900,6900,6900,6900,6900,,6900,6900,6900,6900,6900
마구마구 밤식빵 (소),,3900,,,3900,3900,3900,,3900,3900,,,,3900,
TLJ 옥수수 식빵,5300,5300,5300,,5300,6300,5300,5300,5300,,,5300,,,
순수한 맛 순우유롤(봉),5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
촉촉 쫄깃 탕종식빵,,,,,,,,,,,,,5300,5300,
폭신폭신 우유 브레드,4200,,4200,,,,4200,,,,,4200,,4200,
착한 빵식 통밀식빵 (산형),,5800,5800,,,,,,5800,,,,,,
기본좋은 소버식빵,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,,,,,4800
"순, 식빵",,4900,,,,,,,,,,,,,
호박 패스트리 식빵,,6300,,,6300,6300,6300,,6300,,,,,,
(생 생) 생크림 식빵,4900,4900,,,4900,4900,,4900,4900,,,4900,,,
딸기잼 (400g),9900,9900,9900,,9900,9900,,,9900,,,,9900,9900,
딸기잼 320g,8500,8500,8500,8500,8500,8500,,,8500,8500,,8500,8500,8500,
블루베리잼 320g,,9900,9900,,9900,9900,9900,9900,,,,9900,,9900,
딸기잼 130g,4800,4800,,,4800,,,4800,4800,,,4800,,4800,
기본좋은 쌀 베이글,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,,3200,3200
기본좋은 올리브 베이글,3300,3300,3300,3300,3300,3300,3300,,3300,3300,3300,3300,,3300,3300
데일리 블루베리 베이글,,2900,,2900,,,,,,,,2900,,,
데일리 월넛 베이글,,2900,,2900,,,,,,,,2900,,,
필라델피아 크림치즈 플레인,7200,7200,7200,7200,,7200,7200,7200,7200,7200,,7200,,7200,
기본좋은 세서미 베이글,,3300,3300,3300,3300,3300,3300,,3300,,,3300,3300,,3300
크림치즈 베이글 (기본좋은베이글 랜덤),,,,,,,,,,,,,,,
크림치즈 베이글 (블루베리),,,,,,,,,,,,,,,
베이컨 에그 베이글,,4700,,,,4700,,,,,,4700,,,
크림가득 메론빵,3500,3500,,,,3500,,,,,,3500,,3500,
순진우유크림빵,2700,,,2700,2700,2700,2700,2700,2700,,2700,2700,2700,2900,2700
마담 얼그레이 크림번,3800,,,3800,,3800,,3800,,,,3800,,,
겹겹이 연유 크림 데니쉬,4900,4900,4900,4900,,4900,4900,,,,4900,4900,4900,4900,
밤이듬뿍맘모스(소),,,,,,3000,,3000,3000,3000,,,,,
