뚜레쥬르 지점,뚜레쥬르 경산옥곡,뚜레쥬르 경산정평,뚜레쥬르 경주중앙,뚜레쥬르 경주충효서라벌중앙,뚜레쥬르 구미형곡중앙,뚜레쥬르 김천부곡센트럴,뚜레쥬르 문경중앙,뚜레쥬르 안동정하,뚜레쥬르 옥동호반,뚜레쥬르 영주가흥제일,뚜레쥬르 영천망정,뚜레쥬르 도청신도시,뚜레쥬르 경북울진,뚜레쥬르 경북청도,뚜레쥬르 포항유강,뚜레쥬르 포항이동,뚜레쥬르 포항자이,뚜레쥬르 포항중앙,뚜레쥬르 울산신정현대,뚜레쥬르 울산무거,뚜레쥬르 울산야음롯데,뚜레쥬르 울산전하동,뚜레쥬르 울산방어,뚜레쥬르 울산지웰자이,뚜레쥬르 울산명촌,뚜레쥬르 울산반구강변,뚜레쥬르 울산유곡혁신,뚜레쥬르 대구대봉,뚜레쥬르 대구용산,뚜레쥬르 대구본리,뚜레쥬르 월배삼정,뚜레쥬르 현풍테크노,뚜레쥬르 동대구해모로,뚜레쥬르 동대구더샵디어엘로,뚜레쥬르 복현GS,뚜레쥬르 침산명성푸르지오,뚜레쥬르 서대구센트럴자이,뚜레쥬르 대구신평리,뚜레쥬르 수성3가캐슬,뚜레쥬르 대구달성공원역
마늘 단짝 고구마,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,5300,4900,4900,4900,4900,4900,4900,4900,,4900
깊은 밤 뺑스위스,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,,4300
BELT 샌드위치,,6900,,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,,6900,6900,6900,6900,6900,6900,6900,6900,,7300,6900,,6900,7100,8000,6900,6900,,6900
BLT콥 샐러드,,,8500,8500,,,8500,,8500,,8500,,,,,,,,,,,,,,,,,,,,,,,,,,8500,,,8500
쉬림프 에그 샐러드,,,,,,,10500,,,,,,,10500,,,,,,,,,,,,,,10500,,,11000,,,,10500,,10500,,,
에그튜나 샌드위치,,,,,7200,7200,7200,,,7200,7200,,7200,,7200,7200,7200,,7200,,7500,,7200,7200,,,,7500,7200,,,7200,,,,,,7200,,
반숙란 샌드위치,,,,,,,7300,7300,7300,,7300,,,7300,7300,,,,,,,,,7300,,,,7700,7300,,7300,,,7300,,,7300,,,
고소한 햄치즈 에그 샌드위치,7300,7300,,,7300,,,7300,7300,7300,7300,7300,,7300,7300,7300,7300,7300,,,7300,7300,7300,,7300,,7300,7300,,,7300,7300,,,,,,7300,,7300
고소한 햄에그 샌드위치,,,,7500,,7500,7500,,7500,,,,,7500,,,,,,7500,,,,,,7500,,,,,7500,7500,,,7500,7500,7500,,,
통밀크랜베리치킨샌드위치,,7200,,,,,,,7200,7200,,7200,,,7200,,,7200,,,,,,,,,,7200,,,7500,7200,,7200,,,7200,,,
통밀후레쉬 샌드위치,,,,7000,7000,7000,,7000,7000,7000,7000,7000,7000,7000,,,7000,,7000,7000,7500,7000,,7000,,7000,7000,7500,7000,7000,,7000,,7000,7000,,7000,7000,,7000
NEW 아삭 햄치즈 패스트리,,7000,,7000,7000,7000,7000,7000,7000,7000,7000,7000,,7000,7000,7000,7000,7000,7000,7000,7500,7000,7000,7000,,7000,7000,7200,7000,,7300,7000,,7000,7000,8000,7000,7000,,7000
쉬림프 아삭 패스트리,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,7500,,,,,,,,,
