뚜레쥬르 지점,뚜레쥬르 화정중앙,뚜레쥬르 화정덕양구청,뚜레쥬르 마두역,뚜레쥬르 일산동국대병원점,뚜레쥬르 일산산들,뚜레쥬르 광명휴먼시아,뚜레쥬르 광명하안,뚜레쥬르 곤지암,뚜레쥬르 광주탄벌,뚜레쥬르 구리인창삼보,뚜레쥬르 카페구리갈매,뚜레쥬르 안양금정역,뚜레쥬르 김포마송,뚜레쥬르 김포마산,뚜레쥬르 카페양곡,뚜레쥬르 장현,뚜레쥬르 마석창현,뚜레쥬르 반정아이파크캐슬,뚜레쥬르 카페부천역,뚜레쥬르 부천대성,뚜레쥬르 성남하나로마트,뚜레쥬르 카페서판교,뚜레쥬르 카페서현역,뚜레쥬르 판교위든타워,뚜레쥬르 수원고색,뚜레쥬르 수원판타지움,뚜레쥬르 수원동보신명,뚜레쥬르 수원정자,뚜레쥬르 수원천천푸르지오,뚜레쥬르 매교솔밭사거리,뚜레쥬르 수원역로데오,뚜레쥬르 매교힐스테이트,뚜레쥬르 배곧한라비발디,뚜레쥬르 카페시흥정왕,뚜레쥬르 시화세종,뚜레쥬르 카페안산중앙,뚜레쥬르 안산다농,뚜레쥬르 안산센트럴포레,뚜레쥬르 안양호계현대,뚜레쥬르 안양수촌마을,뚜레쥬르 평촌학원가,뚜레쥬르 양주옥정역,뚜레쥬르 양주옥정고,뚜레쥬르 옥정한신더휴,뚜레쥬르 양평서종,뚜레쥬르 여주역푸르지오,뚜레쥬르 여주오학,뚜레쥬르 오산법원,뚜레쥬르 오산누읍,뚜레쥬르 오산역,뚜레쥬르 용인흥덕,뚜레쥬르 동천동문,뚜레쥬르 용인데이파크,뚜레쥬르 수지구청역,뚜레쥬르 용인죽전,뚜레쥬르 용인파머스마켓,뚜레쥬르 용인양지,뚜레쥬르 용인둔전,뚜레쥬르 의왕역,뚜레쥬르 오전중앙,뚜레쥬르 신곡초교,뚜레쥬르 의정부신곡,뚜레쥬르 의정부센트럴,뚜레쥬르 이천SK하이닉스,뚜레쥬르 이천창전사거리,뚜레쥬르 파주운정가람,뚜레쥬르 파주금촌역,뚜레쥬르 평택에이스고덕,뚜레쥬르 평택법원,뚜레쥬르 평택지제영신,뚜레쥬르 하남신장,뚜레쥬르 미사강변,뚜레쥬르 화성시청,뚜레쥬르 동탄지스타,뚜레쥬르 동탄메타폴리스,뚜레쥬르 동탄역,뚜레쥬르 향남2지구,뚜레쥬르 병점금강,뚜레쥬르 병점중심상가
마늘 단짝 고구마,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,5500,4900,,,4900,4900,4900,4900,5400,4900,4900,4900,,4900,4900,5400,4900,4900,,4900,4900,4900,4900,4900,4900,4900,4900,,4900,4900,4900,4900,4900,4900,,4900,4900,,4900,4900,4900,6000,4900,4900,4900,4900,4900,4900,4900,4900,4900,5500,4900,4900,4900,,,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
깊은 밤 뺑스위스,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,5000,4300,4300,,4300,4300,4300,4300,4500,4300,4300,4300,4300,4300,4300,,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,,4300,4300,,4300,4300,,4300,4300,,4300,4300,4300,5000,4300,4300,4300,4300,4300,4300,4300,4300,4300,4500,4300,4300,4300,,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
BELT 샌드위치,,7500,6900,6900,,7100,7100,,6900,7000,7000,6900,7800,,6900,,6900,7100,,6900,7800,,7000,,7000,7200,6900,7000,7200,6900,,6900,7400,6900,6900,7300,6900,6900,7100,,6900,,6900,6900,,7500,7500,,6900,6900,6900,,,7800,7500,7200,,,6900,6900,,6900,6900,,7500,,,,,7300,6900,7300,6900,6900,6900,,6900,7200,6900
BLT콥 샐러드,,,,,8500,,,8500,8500,,8500,,,7000,,,8500,,,,,,8500,,8500,,,,8400,,,,,,,,8500,,,,,,,,8500,8500,8500,,,,,,,10000,,,,8500,,,8500,8500,8500,,,,,,,8500,,,,,,,,,8500
쉬림프 에그 샐러드,,10500,,10500,,,,10500,,,,,,,,,,10500,,,,,,,,,,10900,,,,11000,,,,,,10500,,,,11000,,,,,,,,8500,,,11900,10000,1100,11000,,8500,,,,8500,,,,,10500,,,,,,10500,,,,,11000,
에그튜나 샌드위치,,7500,,,,,,7200,,,7200,7200,8500,7500,,,,7200,,,,,,,,,7200,,7200,7200,,7200,7700,,,7700,,,,,,7500,,6900,7200,7500,,,7200,7200,,,8600,,7700,7500,,7200,,,,7200,,,,,7200,,,,,7300,7200,7200,,,,,7200
반숙란 샌드위치,,,,7300,,,,,7300,,,,,,,,,,,7300,,,7500,7300,,,7300,7300,,7300,7500,,,,,,,,,,,7500,,,,7500,,,,7300,,,,8000,7700,,,7300,,,7300,,7300,,,,,,7300,7300,7300,,,,,,,,
고소한 햄치즈 에그 샌드위치,7300,,,7300,,,7300,7300,,,,,8300,,,,,7300,,,7900,7300,,,,,,7300,7300,,,,,7300,,,,,7300,,7300,7300,,,7300,7500,7500,,,,,,8300,8000,7300,,,,,,,,,,,,,,,,,7300,7300,7300,7300,,7300,,7300
고소한 햄에그 샌드위치,,,,,,,,7500,,,7500,,,,7500,,7500,,,,,,,7500,7500,7500,,,,,7500,,7500,,,,,,7500,,,7800,,,7500,7500,,,,7500,,,,,,,,,7500,7500,,7500,,,7500,,,,,7300,,,,7500,,8700,7500,7500,
통밀크랜베리치킨샌드위치,7200,,,,,,7200,,,7200,,,,,,,,,,,,7700,,,,,,7200,7200,,,,,,7200,,,,7200,,,7500,,,7200,7500,7500,,7200,,,,,7800,,,,7200,7200,7200,,,,,,,,,,,,,,7200,7200,8700,7200,,
통밀후레쉬 샌드위치,7500,7500,7400,7000,,7000,7100,7000,7000,6900,,7000,7800,7000,7000,,7000,7200,,,,7700,7500,7000,,7200,,7000,7200,7000,7500,,7600,7000,7000,7700,7000,7000,7000,,7000,,,7000,,6900,7500,,7000,,7400,7000,,7800,7400,7500,7000,7000,7000,7000,,7000,,,,,,,7000,7500,7000,7300,7000,7000,7000,8700,7000,7500,7000
