뚜레쥬르 지점,뚜레쥬르 거제수월,뚜레쥬르 거창스카이,뚜레쥬르 장유내덕,뚜레쥬르 장유석봉,뚜레쥬르 장유신문,뚜레쥬르 진영이진,뚜레쥬르 사천카이,뚜레쥬르 사천정동,뚜레쥬르 양산석산,뚜레쥬르 양산물금신도시,뚜레쥬르 양산터미널,뚜레쥬르 진주호탄,뚜레쥬르 진주망경,뚜레쥬르 통영무전,뚜레쥬르 경남함안,뚜레쥬르 함안칠원,뚜레쥬르 창원메트로시티,뚜레쥬르 마산산호마린,뚜레쥬르 부산중앙대로,뚜레쥬르 부산대학교,뚜레쥬르 부산남산,뚜레쥬르 기장교리,뚜레쥬르 부산일광신도시,뚜레쥬르 부산대연,뚜레쥬르 동래허브스카이,뚜레쥬르 부산동의대역,뚜레쥬르 부산개금백병원,뚜레쥬르 부산학장본점,뚜레쥬르 부산서대신역,뚜레쥬르 부산동아대,뚜레쥬르 부산남천,뚜레쥬르 부산대청로,뚜레쥬르 해운대수비교차로
마늘 단짝 고구마,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,,4900,4900,4900,,4900,4900,4900,4900,4900,4900
깊은 밤 뺑스위스,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
BELT 샌드위치,,6900,7300,6900,6900,6900,6900,6900,,6900,6900,6900,6900,6900,6900,6800,6900,6900,6900,6900,,6900,6900,,6900,6900,6900,6900,6900,6900,,6900,7000
BLT콥 샐러드,,,,,,8500,,,,,,,,,,,,,,,,,,,,,,,,8500,,,
쉬림프 에그 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,7300,,,,,,,
에그튜나 샌드위치,,,,,,,7200,,,7200,,,7200,,,,,,7200,6900,,,,7200,7200,7200,7200,,7200,7200,7200,7200,7200
반숙란 샌드위치,,,,,,7300,,,,,,,,,,,7300,,,,,,,,,,,,,7300,7300,,7300
고소한 햄치즈 에그 샌드위치,,7300,7300,,7300,7300,7300,,,7300,,7300,,7300,,,,7300,,7300,,,7300,7300,7300,7300,7300,,7300,7300,,7300,7300
고소한 햄에그 샌드위치,7500,,7500,7500,7500,,,,7500,,7500,,7500,,7500,,7500,7500,,,,,,,,,7500,7500,,,,,
통밀크랜베리치킨샌드위치,7200,,7500,7200,,,,,,,,,7200,,,,,,,7000,,,7200,,7200,7200,,,7200,,,,7200
통밀후레쉬 샌드위치,7000,7000,7500,,7000,7000,7200,7000,,7000,,,7000,7000,7000,6800,,7000,7000,7000,,,7000,7000,7000,7000,7000,,7000,7000,7000,7000,7000
NEW 아삭 햄치즈 패스트리,7000,,7500,7000,7000,7000,,7000,,,,7000,6900,7000,7000,6800,7000,7000,,6500,,,,,7000,7000,7000,,7000,7000,7000,7000,7000
