woche,lfd,gewicht,date,location_size,Bundesland,West/East,Gender,Age,Education,Job,Household size,NumberofPerson>14,party preference,Eligible to vote,HH Income,난민에 관한 우려,단기적 난민 수용 인식,장기적 난민 수용 인식,난민문제에 대한 정부인식
KW 03 - Januar,2991579,"1,388719",2016/01/13,100000 bis 500000,Baden-Württemberg,West,m,46,Studium,ja,zwei,zwei,"Bündnis `90, Die Grünen",ja,2500 bis unter 3000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3192308,",596671",2016/01/13,5000 bis 20000,Nordrhein-Westfalen,West,w,51,Abitur,nein,drei,drei,"weiß nicht, keine Angabe",ja,1500 bis unter 2000,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3219321,",266309",2016/01/13,500000 und mehr,Berlin,Ost,m,16,"Volks-, Hauptschule",nein,eine Person,eine Person, ,nein,keine Angabe,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3236576,",085094",2016/01/13,500000 und mehr,Berlin,West,m,74,Studium,ja,eine Person,eine Person, ,nein,500 bis unter 1000,mache mir keine Sorgen,"eher Vorteile,","eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3260401,"1,429932",2016/01/13,bis 2000,Thüringen,Ost,m,57,"Volks-, Hauptschule",ja,zwei,zwei,Die Linke,ja,1000 bis unter 1500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3269971,",76055",2016/01/13,100000 bis 500000,Bayern,West,m,22,Studium,ja,fuenf und mehr,vier,CDU/CSU,ja,keine Angabe,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 03 - Januar,3270970,"1,11174",2016/01/13,100000 bis 500000,Hessen,West,m,36,Studium,ja,drei,zwei,SPD,ja,5000 Euro und mehr,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3276038,"2,115096",2016/01/13,20000 bis 50000,Niedersachsen,West,w,38,Studium,ja,vier,zwei,CDU/CSU,ja,4000 bis unter 5000,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3287213,",549444",2016/01/13,5000 bis 20000,Nordrhein-Westfalen,West,m,19,"Volks-, Hauptschule",ja,vier,zwei,SPD,ja,1000 bis unter 1500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3299169,"1,395483",2016/01/13,100000 bis 500000,Bayern,West,w,28,Mittlerer Bildungsabschl,ja,vier,zwei,"weiß nicht, keine Angabe",ja,2500 bis unter 3000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3300073,",192278",2016/01/13,500000 und mehr,Brandenburg,Ost,m,45,Studium,ja,drei,zwei,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3306551,",191494",2016/01/13,50000 bis 100000,Mecklenburg-Vorpommern,Ost,m,61,Studium,ja,zwei,zwei,AfD,ja,2500 bis unter 3000,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3306817,",678536",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,m,22,Abitur,nein,zwei,zwei,Die Linke,ja,1000 bis unter 1500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3319247,",140759",2016/01/13,500000 und mehr,Sachsen,Ost,m,78,Studium,nein,drei,drei,CDU/CSU,ja,keine Angabe,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher voran
KW 03 - Januar,3319799,",285399",2016/01/13,100000 bis 500000,Brandenburg,Ost,m,55,Mittlerer Bildungsabschl,ja,zwei,zwei,CDU/CSU,ja,500 bis unter 1000,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher voran
KW 03 - Januar,3332018,"1,797426",2016/01/13,100000 bis 500000,Rheinland-Pfalz,West,m,34,Studium,ja,zwei,zwei,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3339276,"1,320189",2016/01/13,500000 und mehr,Hamburg,West,m,45,Abitur,ja,eine Person,eine Person, ,nein,keine Angabe,mache mir keine Sorgen,"eher Vorteile,","eher Vorteile,",kommt eher voran
KW 03 - Januar,3340574,"1,455101",2016/01/13,500000 und mehr,Bayern,West,w,20,Abitur,nein,fuenf und mehr,fuenf und mehr,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir keine Sorgen,"weiß nicht, keine Angabe","weiß nicht, keine Angabe",kommt eher voran
KW 03 - Januar,3348186,",377812",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,m,29,Abitur,ja,drei,zwei,"Bündnis `90, Die Grünen",ja,keine Angabe,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
